id	title	content	questionType	difficulty	subject	board	grade	topicTags	marks	timeLimit	isPublished	createdAt	updatedAt	analytics
93aaef5e-01b7-4672-ae3c-2768ede36d89	Understanding Dimensional Analysis	In an experiment, a student measures a physical quantity, X, which is described by the formula X = A * B^2 / C, where A has dimensions of [M][L][T^-2], B has dimensions of [L][T^-1], and C has dimensions of [M][L^0][T^1]. Which of the following represents the correct dimensions of X?	mcq	medium	physics	general	Class 11	{Units and Measurements}	1	2	true	2025-07-14T02:23:04.228Z	2025-07-14T02:23:04.229Z	{}
a2326939-cc6f-4fb7-ac41-d3e80f92c08e	Understanding Scalars and Vectors	Consider two physical quantities: temperature and velocity. Which of the following statements correctly distinguishes between scalars and vectors?	mcq	medium	physics	general	Class 11	{Scalars and Vectors}	1	2	true	2025-07-14T02:23:04.229Z	2025-07-14T02:23:04.229Z	{}
d1110375-da06-4aad-9d66-1c3163f16ba2	Velocity and Acceleration Analysis	A car starts from rest and moves along a straight line with a constant acceleration. After traveling for some time, it covers a distance of 100 meters. If the car's velocity at the end of this distance is 20 m/s, what is its acceleration?	mcq	medium	physics	general	Class 11	{Motion in a Straight Line}	1	2	true	2025-07-14T02:23:04.230Z	2025-07-14T02:23:04.230Z	{}
8a47abea-d79e-42a5-ad1a-4780697cb3a7	Projectile Motion Analysis	A ball is thrown from the ground with an initial speed of 20 m/s at an angle of 30 degrees above the horizontal. Assuming no air resistance, what is the ball's speed at the highest point of its trajectory?	mcq	medium	physics	general	Class 11	{Motion in a Plane}	1	2	true	2025-07-14T02:23:04.230Z	2025-07-14T02:23:04.230Z	{}
056393a3-04e2-48d3-a4bb-6b4cd9dac820	Understanding Projectile Motion with Varying Launch Angles	A projectile is launched from the ground with an initial speed of 20 m/s at an angle θ with the horizontal. If the projectile lands at the same vertical level from which it was launched, at what launch angle θ will the horizontal range of the projectile be maximized?	mcq	medium	physics	general	Class 11	{Projectile Motion}	1	2	true	2025-07-14T02:23:04.230Z	2025-07-14T02:23:04.230Z	{}
b5dbd0d5-ee97-478a-a3d6-027119696111	Relative Velocity in River Crossing	A boat needs to cross a river from point A on the south bank to point B directly north on the opposite bank. The river flows eastward at a velocity of 4 m/s. The boat has a speed of 5 m/s in still water. At what angle (with respect to the north direction) should the boat be aimed to reach point B directly?	mcq	medium	physics	general	Class 11	{Relative Velocity}	1	2	true	2025-07-14T02:23:04.230Z	2025-07-14T02:23:04.230Z	{}
a1126017-0d36-4b81-b02e-0a5e0cca8b08	Analyzing Forces on an Inclined Plane	A block of mass m is placed on a frictionless inclined plane making an angle θ with the horizontal. The block is released from rest and allowed to slide down the plane. What is the acceleration of the block parallel to the plane?	mcq	medium	physics	general	Class 11	{Laws of Motion}	1	2	true	2025-07-14T02:23:04.230Z	2025-07-14T02:23:04.230Z	{}
9ec64352-7d8c-4ccd-9c26-fcb41e230010	Friction on an Inclined Plane	A block of mass 10 kg is placed on a rough inclined plane that makes an angle of 30° with the horizontal. The coefficient of static friction between the block and the plane is 0.4. What is the maximum force parallel to the plane that can be applied upward to prevent the block from sliding down?	mcq	medium	physics	general	Class 11	{Friction}	1	2	true	2025-07-14T02:23:04.230Z	2025-07-14T02:23:04.230Z	{}
068af0d5-02de-42bd-bd6c-f008c6c0e833	Centripetal Force and Friction on a Banked Curve	A car of mass 1500 kg is traveling at a constant speed of 25 m/s around a banked circular track with a radius of 200 m. The track is banked at an angle θ such that no friction is required for the car to maintain its circular path. Assume g = 9.8 m/s². What is the angle θ of the banked curve?	mcq	medium	physics	general	Class 11	{Circular Motion}	1	2	true	2025-07-14T02:23:04.230Z	2025-07-14T02:23:04.230Z	{}
e931152e-cdba-4ff2-b18a-03317f5bb871	Understanding the Work-Energy Principle	A block of mass 5 kg is initially at rest on a frictionless horizontal surface. A constant horizontal force of 15 N is applied to the block, moving it a distance of 10 meters. What is the final kinetic energy of the block?	mcq	medium	physics	general	Class 11	{Work, Energy and Power}	1	2	true	2025-07-14T02:23:04.230Z	2025-07-14T02:23:04.230Z	{}
